code_matiere,discipline,categorie_matiere
FRA100,Français,Régulier
FRA200,Français,Régulier
FRA300,Français,Régulier
FRA400,Français,Régulier
FRA500,Français,Régulier
FRA600,Français,Régulier
MAT100,Mathématique,Régulier
MAT200,Mathématique,Régulier
MAT300,Mathématique,Régulier
MAT400,Mathématique,Régulier
MAT500,Mathématique,Régulier
MAT600,Mathématique,Régulier
063126,Mathématique,Régulier
063226,Mathématique,Régulier
063306,Mathématique,Régulier
063414,Mathématique,Régulier
065426,Mathématique,Régulier
063504,Mathématique,Régulier
065506,Mathématique,Régulier
132108,Français,Régulier
132208,Français,Régulier
132308,Français,Régulier
132406,Français,Régulier
132506,Français,Régulier
